Datum,Kapacitet,Temperatura,Vrijeme,Broj_gledatelja,Rivali,Broj_stanovnika
2015-08-14,75000,23,kiša,75000,1,1450381
2015-08-15,34000,29,kiša,27152,0,209779
2015-08-15,30210,29,kiša,27125,0,163487
2015-08-15,17000,29,kiša,17000,0,151879
2015-08-15,42100,29,kiša,42100,1,557464
2015-08-15,30660,29,kiša,28130,0,286374
2015-08-15,81359,25,kiša,81359,0,586181
2015-08-16,30000,19,kiša,29126,0,124045
2015-08-16,60441,16,kiša,59500,0,612441
2015-08-21,74475,20,vedro,56376,0,6004857
2015-08-22,62271,19,oblaèno,61565,0,260368
2015-08-22,30150,19,oblaèno,30150,1,34882
2015-08-22,49000,19,oblaèno,39100,0,532163
2015-08-22,51500,19,oblaèno,45000,0,732688
2015-08-22,50000,19,oblaèno,46000,0,1060582
2015-08-22,57000,20,oblaèno,54618,0,1787408
2015-08-23,15000,20,vedro,15000,0,132438
2015-08-23,54010,20,vedro,50172,0,259996
2015-08-28,30000,30,oblaèno,30000,0,124045
2015-08-29,60441,31,oblaèno,49327,0,612441
2015-08-29,34000,28,oblaèno,26872,0,209779
2015-08-29,17000,30,oblaèno,17000,0,151879
2015-08-29,30660,20,oblaèno,30003,0,286374
2015-08-29,50000,27,vedro,50000,0,1060582
2015-08-29,75000,30,vedro,75000,1,1450381
2015-08-30,81359,22,vedro,80500,0,586181
2015-08-30,42100,23,olujna grmljavina,42100,0,557464
2015-09-11,54010,18,vedro,54010,0,259996
2015-09-12,30210,19,vedro,29396,0,163487
2015-09-12,15000,21,vedro,14095,0,132438
2015-09-12,74475,21,oblaèno,45994,0,6004857
2015-09-12,49000,21,oblaèno,49000,0,532163
2015-09-12,75000,21,vedro,75000,0,1450381
2015-09-12,51500,20,vedro,51500,0,732688
2015-09-13,30150,16,oblaèno,28312,0,34882
2015-09-13,62271,13,oblaèno,60083,0,260368
2015-09-18,34000,16,vedro,28973,0,209779
2015-09-19,30000,15,olujna grmljavina,30000,0,124045
2015-09-19,57000,15,kiša,55322,0,1787408
2015-09-19,17000,15,oblaèno,17000,0,151879
2015-09-19,42100,15,olujna grmljavina,40500,0,557464
2015-09-19,50000,17,oblaèno,47800,1,1060582
2015-09-20,60441,18,vedro,48510,0,612441
2015-09-20,81359,16,oblaèno,81359,0,586181
2015-09-20,30660,14,olujna grmljavina,28511,0,286374
2015-09-22,15000,13,oblaèno,15000,0,132438
2015-09-22,74475,14,oblaèno,40181,0,6004857
2015-09-22,17000,13,oblaèno,17000,0,151879
2015-09-22,75000,10,kiša,75000,0,1450381
2015-09-23,62271,15,oblaèno,60104,0,260368
2015-09-23,54010,15,oblaèno,40511,0,259996
2015-09-23,30210,16,oblaèno,24805,0,163487
2015-09-23,30150,14,oblaèno,29700,0,34882
2015-09-23,49000,14,oblaèno,36800,0,532163
2015-09-25,50000,17,oblaèno,47800,0,1060582
2015-09-26,30000,16,oblaèno,29236,1,124045
2015-09-26,60441,17,oblaèno,51020,0,612441
2015-09-26,34000,17,oblaèno,34000,0,209779
2015-09-26,42100,16,oblaèno,40005,0,557464
2015-09-26,30660,15,oblaèno,27112,0,286374
2015-09-26,57000,16,oblaèno,53192,0,1787408
2015-09-27,51500,17,oblaèno,46000,0,732688
2015-09-27,81359,15,oblaèno,81359,0,586181
2015-10-02,17000,17,oblaèno,17000,0,151879
2015-10-03,54010,18,oblaèno,52581,0,259996
2015-10-03,15000,16,oblaèno,15000,0,132438
2015-10-03,30150,20,vedro,30150,0,34882
2015-10-03,74475,20,vedro,65427,0,6004857
2015-10-03,49000,20,vedro,49000,0,532163
2015-10-04,62271,20,vedro,61723,0,260368
2015-10-04,30210,18,oblaèno,28475,0,163487
2015-10-04,75000,20,vedro,75000,1,1450381
2015-10-16,34000,8,oblaèno,34000,0,209779
2015-10-17,30000,9,oblaèno,28148,0,124045
2015-10-17,62271,10,oblaèno,61336,0,260368
2015-10-17,57000,8,oblaèno,54957,0,1787408
2015-10-17,42100,8,kiša,42100,1,557464
2015-10-17,30660,10,kiša,30009,0,286374
2015-10-17,51500,10,oblaèno,50700,0,732688
2015-10-18,50000,10,oblaèno,48700,0,1060582
2015-10-18,60441,10,oblaèno,45700,0,612441
2015-10-23,30150,14,vedro,30000,0,34882
2015-10-24,34000,12,vedro,30837,0,209779
2015-10-24,30210,14,vedro,30210,0,163487
2015-10-24,49000,12,vedro,44200,0,532163
2015-10-24,17000,11,vedro,15800,0,151879
2015-10-24,75000,11,vedro,75000,0,1450381
2015-10-24,15000,12,vedro,15000,0,132438
2015-10-25,81359,11,vedro,81359,0,586181
2015-10-25,54010,12,oblaèno,54010,0,259996
2015-10-30,51500,11,vedro,51500,0,732688
2015-10-31,62271,17,vedro,60144,0,260368
2015-10-31,74475,14,vedro,58566,0,6004857
2015-10-31,42100,11,vedro,42100,0,557464
2015-10-31,30660,12,vedro,27200,0,286374
2015-10-31,50000,16,vedro,48000,0,1060582
2015-10-31,30000,10,oblaèno,28766,0,124045
2015-11-01,60441,13,vedro,55200,0,612441
2015-11-01,57000,14,vedro,54607,0,1787408
2015-11-06,49000,13,vedro,40200,0,532163
2015-11-07,54010,15,oblaèno,52331,0,259996
2015-11-07,34000,14,vedro,26331,0,209779
2015-11-07,30210,16,vedro,30210,1,163487
2015-11-07,30150,14,vedro,30150,0,34882
2015-11-07,75000,13,oblaèno,75000,1,1450381
2015-11-07,17000,15,vedro,17000,0,151879
2015-11-08,81359,13,oblaèno,79956,1,586181
2015-11-08,30660,12,maglovito,28122,0,286374
2015-11-20,57000,7,kiša,57000,0,1787408
2015-11-21,30000,5,kiša,30000,0,124045
2015-11-21,60441,6,kiša,54925,0,612441
2015-11-21,54010,5,kiša,52214,0,259996
2015-11-21,51500,5,kiša,47500,0,732688
2015-11-21,50000,5,kiša,46700,0,1060582
2015-11-21,62271,6,olujna grmljavina,62271,1,260368
2015-11-22,74475,3,oblaèno,37045,0,6004857
2015-11-22,15000,3,oblaèno,14551,0,132438
2015-11-27,17000,6,snijeg,17000,0,151879
2015-11-28,30150,6,snijeg,30150,0,34882
2015-11-28,49000,6,snijeg,35000,0,532163
2015-11-28,42100,6,kiša,42100,1,557464
2015-11-28,75000,4,snijeg,75000,0,1450381
2015-11-28,34000,9,kiša,33098,1,209779
2015-11-29,81359,8,kiša,81359,0,586181
2015-11-29,30210,9,kiša,30210,0,163487
2015-11-29,30660,6,kiša,27081,0,286374
2015-12-04,62271,8,kiša,61229,0,260368
2015-12-05,54010,10,vedro,54010,1,259996
2015-12-05,15000,10,vedro,14225,0,132438
2015-12-05,74475,8,vedro,41819,0,6004857
2015-12-05,57000,9,kiša,51698,0,1787408
2015-12-05,50000,10,vedro,45500,0,1060582
2015-12-05,30000,9,oblaèno,30000,0,124045
2015-12-06,60441,10,vedro,46590,0,612441
2015-12-06,51500,8,oblaèno,51500,0,732688
2015-12-11,34000,7,kiša,29104,0,209779
2015-12-12,30000,7,oblaèno,30000,0,124045
2015-12-12,30150,6,oblaèno,25531,0,34882
2015-12-12,17000,7,kiša,17000,0,151879
2015-12-12,42100,6,oblaèno,40727,0,557464
2015-12-12,75000,7,vedro,75000,0,1450381
2015-12-12,30210,8,kiša,30210,0,163487
2015-12-13,30660,3,maglovito,28410,0,286374
2015-12-13,81359,7,oblaèno,81359,0,586181
2015-12-18,62271,12,oblaèno,60749,0,260368
2015-12-19,15000,12,oblaèno,15000,0,132438
2015-12-19,49000,12,oblaèno,49000,0,532163
2015-12-19,57000,11,oblaèno,49726,0,1787408
2015-12-19,51500,10,oblaèno,46000,0,732688
2015-12-19,50000,13,oblaèno,50000,0,1060582
2015-12-19,60441,12,oblaèno,47343,0,612441
2015-12-20,74475,10,oblaèno,39835,0,6004857
2015-12-20,54010,14,oblaèno,53610,0,259996
2016-01-22,57000,3,maglovito,57000,1,1787408
2016-01-23,15000,2,maglovito,13500,0,132438
2016-01-23,30150,3,maglovito,24140,0,34882
2016-01-23,74475,1,snijeg,35196,0,6004857
2016-01-23,49000,2,maglovito,35600,0,532163
2016-01-23,50000,5,oblaèno,50000,0,1060582
2016-01-23,54010,4,maglovito,54010,0,259996
2016-01-24,51500,3,maglovito,35000,0,732688
2016-01-24,62271,3,oblaèno,62271,0,260368
2016-01-29,34000,6,kiša,32015,0,209779
2016-01-30,30210,4,oblaèno,28790,0,163487
2016-01-30,81359,5,maglovito,81359,0,586181
2016-01-30,17000,4,oblaèno,17000,0,151879
2016-01-30,42100,4,oblaèno,40141,0,557464
2016-01-30,28653,3,oblaèno,30660,0,286374
2016-01-30,60441,5,maglovito,46600,0,612441
2016-01-31,30000,3,oblaèno,29156,0,124045
2016-01-31,75000,5,oblaèno,75000,1,1450381
2016-02-05,54010,7,kiša,51569,0,259996
2016-02-06,62271,9,olujna grmljavina,61483,0,260368
2016-02-06,15000,10,oblaèno,15356,0,132438
2016-02-06,74475,10,oblaèno,74244,0,6004857
2016-02-06,49000,6,kiša,35569,0,532163
2016-02-06,51500,9,oblaèno,4200,0,732688
2016-02-06,30210,9,kiša,30210,1,163487
2016-02-07,57000,9,olujna grmljavina,51999,0,1787408
2016-02-07,30150,5,olujna grmljavina,26231,0,34882
2016-02-12,34000,5,oblaèno,32107,0,209779
2016-02-13,30000,5,oblaèno,26884,0,124045
2016-02-13,60441,4,oblaèno,45465,0,612441
2016-02-13,81359,5,oblaèno,81359,0,586181
2016-02-13,17000,6,kiša,16800,0,151879
2016-02-13,42100,4,oblaèno,38454,0,557464
2016-02-13,50000,4,kiša,45432,0,1060582
2016-02-14,57000,0,snijeg,56706,0,1787408	
2016-02-14,30660,4,oblaèno,30660,0,286374
2016-02-19,51500,5,oblaèno,47200,0,732688
2016-02-20,54010,4,oblaèno,52226,1,259996
2016-02-20,15000,3,kiša,15000,0,132438
2016-02-20,30150,4,kiša,24019,0,34882
2016-02-20,74475,5,oblaèno,40126,0,6004857
2016-02-20,75000,6,oblaèno,75000,0,1450381
2016-02-21,30210,4,kiša,30210,0,163487
2016-02-21,62271,3,kiša,61262,0,260368
2016-02-21,49000,4,oblaèno,32400,0,532163
2016-02-26,50000,3,vedro,48900,0,1060582
2016-02-27,30000,5,vedro,30000,0,124045
2016-02-27,60441,5,oblaèno,54356,0,612441
2016-02-27,57000,4,oblaèno,50675,0,1787408
2016-02-27,42100,6,vedro,40369,0,557464
2016-02-28,30660,3,vedro,29665,0,286374
2016-02-28,34000,2,vedro,26557,0,209779
2016-02-28,81359,4,vedro,81359,0,586181
2016-02-28,51500,2,vedro,43500,0,732688
2016-03-01,15000,2,maglovito,14503,0,132438
2016-03-01,49000,3,maglovito,345003,0,532163
2016-03-02,62271,4,oblaèno,60856,0,260368
2016-03-02,54010,3,maglovito,46627,0,259996
2016-03-02,30210,5,vedro,25506,0,163487
2016-03-02,30150,2,oblaèno,21092,0,34882
2016-03-02,74475,3,oblaèno,636608,0,6004857
2016-03-02,17000,2,maglovito,17000,0,151879
2016-03-02,75000,3,oblaèno,75000,0,1450381
2016-03-05,30000,4,olujna grmljavina,29224,0,124045
2016-03-05,60441,3,oblaèno,44647,0,612441
2016-03-05,51500,5,kiša,40000,0,732688
2016-03-05,42100,3,oblaèno,42100,0,557464
2016-03-05,30660,2,olujna grmljavina,27610,0,286374
2016-03-05,50000,3,kiša,49300,0,1060582
2016-03-05,81359,4,oblaèno,81359,1,586181
2016-03-06,34000,3,oblaèno,34000,0,209779
2016-03-06,57000,4,oblaèno,46136,0,1787408
2016-03-11,74475,4,oblaèno,51424,0,6004857
2016-03-12,30150,3,oblaèno,25231,0,34882
2016-03-12,15000,2,oblaèno,15107,0,132438
2016-03-12,30660,2,oblaèno,25521,0,286374
2016-03-12,49000,3,oblaèno,40600,0,532163
2016-03-12,54010,2,oblaèno,54010,0,259996
2016-03-12,75000,3,oblaèno,75000,1,1450381
2016-03-13,30210,3,kiša,32010,0,163487
2016-03-13,81359,2,oblaèno,81359,0,586181
2016-03-18,62271,4,oblaèno,62271,0,260368
2016-03-19,30000,3,oblaèno,26422,0,124045
2016-03-19,74475,6,oblaèno,40385,0,6004857
2016-03-19,57000,5,oblaèno,48263,0,1787408
2016-03-19,42100,4,oblaèno,38416,0,557464
2016-03-19,50000,5,oblaèno,49600,0,1060582
2016-03-19,51500,4,oblaèno,43300,0,732688
2016-03-20,60441,5,oblaèno,54552,0,612441
2016-03-20,30660,6,maglovito,30660,0,286374
2016-04-01,30210,15,oblaèno,29232,0,163487
2016-04-02,34000,17,oblaèno,31780,0,209779
2016-04-02,15000,17,oblaèno,15200,0,132438
2016-04-02,49000,17,oblaèno,49000,0,532163
2016-04-02,17000,16,oblaèno,17000,0,151879
2016-04-02,75000,18,oblaèno,75000,0,1450381
2016-04-02,81359,16,oblaèno,81359,0,586181
2016-04-03,54010,15,oblaèno,53114,0,259996
2016-04-03,30150,17,oblaèno,301500,0,34882
2016-04-08,74475,9,vedro,45229,0,6004857
2016-04-09,60441,8,oblaèno,60000,1,612441
2016-04-09,15000,7,vedro,15200,0,132438
2016-04-09,57000,8,vedro,57000,0,1787408
2016-04-09,51500,7,oblaèno,51000,0,732688
2016-04-09,42100,8,vedro,41000,0,557464
2016-04-09,30000,7,oblaèno,27844,0,124045
2016-04-10,62271,7,oblaèno,61670,0,260368
2016-04-10,50000,7,oblaèno,70000,1,1060582
2016-04-15,49000,8,oblaèno,46196,0,532163
2016-04-16,30210,8,oblaèno,30210,0,163487
2016-04-16,30150,8,oblaèno,27745,0,34882
2016-04-16,17000,7,oblaèno,15600,0,151879
2016-04-16,42100,7,oblaèno,40557,0,557464
2016-04-16,30660,8,oblaèno,30660,0,286374
2016-04-16,75000,7,oblaèno,75000,1,1450381
2016-04-17,81359,6,oblaèno,81359,0,586181
2016-04-17,34000,7,oblaèno,33275,0,209779
2016-04-22,57000,7,kiša,57000,1,1787408
2016-04-23,30000,5,oblaèno,27261,0,124045
2016-04-23,60441,6,kiša,60000,0,612441
2016-04-23,15000,5,kiša,14831,0,132438
2016-04-23,74475,7,oblaèno,76233,0,6004857
2016-04-23,50000,6,oblaèno,50000,0,1060582
2016-04-23,62271,6,oblaèno,62271,0,260368
2016-04-24,54010,5,kiša,53144,0,259996
2016-04-24,51500,6,oblaèno,50300,0,732688
2016-04-29,30660,12,kiša,30144,0,286374
2016-04-30,34000,13,oblaèno,34000,0,209779
2016-04-30,30150,14,kiša,26561,0,34882
2016-04-30,49000,12,kiša,46900,0,532163
2016-04-30,81359,13,oblaèno,81359,0,586181
2016-04-30,17000,12,kiša,14800,0,151879
2016-04-30,75000,14,oblaèno,75000,1,1450381	
2016-04-30,30210,13,oblaèno,30210,0,163487
2016-05-02,42100,12,oblaèno,41000,0,557464
