Kapacitet,Temperatura,Vrijeme,Broj_gledatelja,Rivali,Broj_stanovnika
75000,23,kiša,75000,1,1450381
34000,29,kiša,27152,0,209779
30210,29,kiša,27125,0,163487
17000,29,kiša,17000,0,151879
42100,29,kiša,42100,1,557464
30660,29,kiša,28130,0,286374
81359,25,kiša,81359,0,586181
30000,19,kiša,29126,0,124045
60441,16,kiša,59500,0,612441
74475,20,vedro,56376,0,6004857
62271,19,oblaèno,61565,0,260368
30150,19,oblaèno,30150,1,34882
49000,19,oblaèno,39100,0,532163
51500,19,oblaèno,45000,0,732688
50000,19,oblaèno,46000,0,1060582
57000,20,oblaèno,54618,0,1787408
15000,20,vedro,15000,0,132438
54010,20,vedro,50172,0,259996
30000,30,oblaèno,30000,0,124045
60441,31,oblaèno,49327,0,612441
34000,28,oblaèno,26872,0,209779
17000,30,oblaèno,17000,0,151879
30660,20,oblaèno,30003,0,286374
50000,27,vedro,50000,0,1060582
75000,30,vedro,75000,1,1450381
81359,22,vedro,80500,0,586181
42100,23,olujna grmljavina,42100,0,557464
54010,18,vedro,54010,0,259996
30210,19,vedro,29396,0,163487
15000,21,vedro,14095,0,132438
74475,21,oblaèno,45994,0,6004857
49000,21,oblaèno,49000,0,532163
75000,21,vedro,75000,0,1450381
51500,20,vedro,51500,0,732688
30150,16,oblaèno,28312,0,34882
62271,13,oblaèno,60083,0,260368
34000,16,vedro,28973,0,209779
30000,15,olujna grmljavina,30000,0,124045
57000,15,kiša,55322,0,1787408
17000,15,oblaèno,17000,0,151879
42100,15,olujna grmljavina,40500,0,557464
50000,17,oblaèno,47800,1,1060582
60441,18,vedro,48510,0,612441
81359,16,oblaèno,81359,0,586181
30660,14,olujna grmljavina,28511,0,286374
15000,13,oblaèno,15000,0,132438
74475,14,oblaèno,40181,0,6004857
17000,13,oblaèno,17000,0,151879
75000,10,kiša,75000,0,1450381
62271,15,oblaèno,60104,0,260368
54010,15,oblaèno,40511,0,259996
30210,16,oblaèno,24805,0,163487
30150,14,oblaèno,29700,0,34882
49000,14,oblaèno,36800,0,532163
50000,17,oblaèno,47800,0,1060582
30000,16,oblaèno,29236,1,124045
60441,17,oblaèno,51020,0,612441
34000,17,oblaèno,34000,0,209779
42100,16,oblaèno,40005,0,557464
30660,15,oblaèno,27112,0,286374
57000,16,oblaèno,53192,0,1787408
51500,17,oblaèno,46000,0,732688
81359,15,oblaèno,81359,0,586181
17000,17,oblaèno,17000,0,151879
54010,18,oblaèno,52581,0,259996
15000,16,oblaèno,15000,0,132438
30150,20,vedro,30150,0,34882
74475,20,vedro,65427,0,6004857
49000,20,vedro,49000,0,532163
62271,20,vedro,61723,0,260368
30210,18,oblaèno,28475,0,163487
75000,20,vedro,75000,1,1450381
34000,8,oblaèno,34000,0,209779
30000,9,oblaèno,28148,0,124045
62271,10,oblaèno,61336,0,260368
57000,8,oblaèno,54957,0,1787408
42100,8,kiša,42100,1,557464
30660,10,kiša,30009,0,286374
51500,10,oblaèno,50700,0,732688
50000,10,oblaèno,48700,0,1060582
60441,10,oblaèno,45700,0,612441
30150,14,vedro,30000,0,34882
34000,12,vedro,30837,0,209779
30210,14,vedro,30210,0,163487
49000,12,vedro,44200,0,532163
17000,11,vedro,15800,0,151879
75000,11,vedro,75000,0,1450381
15000,12,vedro,15000,0,132438
81359,11,vedro,81359,0,586181
54010,12,oblaèno,54010,0,259996
51500,11,vedro,51500,0,732688
62271,17,vedro,60144,0,260368
74475,14,vedro,58566,0,6004857
42100,11,vedro,42100,0,557464
30660,12,vedro,27200,0,286374
50000,16,vedro,48000,0,1060582
30000,10,oblaèno,28766,0,124045
60441,13,vedro,55200,0,612441
57000,14,vedro,54607,0,1787408
49000,13,vedro,40200,0,532163
54010,15,oblaèno,52331,0,259996
34000,14,vedro,26331,0,209779
30210,16,vedro,30210,1,163487
30150,14,vedro,30150,0,34882
75000,13,oblaèno,75000,1,1450381
17000,15,vedro,17000,0,151879
81359,13,oblaèno,79956,1,586181
30660,12,maglovito,28122,0,286374
57000,7,kiša,57000,0,1787408
30000,5,kiša,30000,0,124045
60441,6,kiša,54925,0,612441
54010,5,kiša,52214,0,259996
51500,5,kiša,47500,0,732688
50000,5,kiša,46700,0,1060582
62271,6,olujna grmljavina,62271,1,260368
74475,3,oblaèno,37045,0,6004857
15000,3,oblaèno,14551,0,132438
17000,6,snijeg,17000,0,151879
30150,6,snijeg,30150,0,34882
49000,6,snijeg,35000,0,532163
42100,6,kiša,42100,1,557464
75000,4,snijeg,75000,0,1450381
34000,9,kiša,33098,1,209779
81359,8,kiša,81359,0,586181
30210,9,kiša,30210,0,163487
30660,6,kiša,27081,0,286374
62271,8,kiša,61229,0,260368
54010,10,vedro,54010,1,259996
15000,10,vedro,14225,0,132438
74475,8,vedro,41819,0,6004857
57000,9,kiša,51698,0,1787408
50000,10,vedro,45500,0,1060582
30000,9,oblaèno,30000,0,124045
60441,10,vedro,46590,0,612441
51500,8,oblaèno,51500,0,732688
34000,7,kiša,29104,0,209779
30000,7,oblaèno,30000,0,124045
